1            	1.1725             	1.2048             	0.0323
2            	1.1725             	1.2144             	0.0419
3            	1.1725             	1.2237             	0.0512
4            	1.1725             	-	0
5            	1.1725             	-	0
6            	1.1725             	-	0
7            	1.1725             	-	0
8            	1.1725             	-	0
9            	1.1725             	-	0
10            	1.1725             	-	0
11            	1.1725             	-	0
12            	1.1725             	-	0
13            	1.2925             	1.3074             	0.0149
14            	1.2925             	1.3176             	0.0251
15            	1.2925             	1.3282             	0.0357
16            	1.2925             	1.3408             	0.0483
17            	1.2925             	1.3535             	0.061
18            	1.2925             	1.3628             	0.0703
19            	1.2925             	1.3679             	0.0754
20            	1.2925             	1.3735             	0.081
21            	1.2925             	1.3819             	0.0894
22            	1.2925             	1.3883             	0.0958
23            	1.2925             	1.3942             	0.1017
24            	1.2925             	1.4015             	0.109
25            	1.2925             	1.4089             	0.1164
26            	1.2925             	1.4104             	0.1179
27            	1.2925             	1.4183             	0.1258
28            	1.2925             	1.4281             	0.1356
29            	1.2925             	1.4309             	0.1384
30            	1.2925             	1.4346             	0.1421
31            	1.2925             	1.4376             	0.1451
32            	1.2925             	-	0
33            	1.2935             	1.4427             	0.1492
34            	1.2935             	1.4460             	0.1525
35            	1.2935             	1.4520             	0.1585
36            	1.2935             	1.4566             	0.1631
37            	1.2935             	-	0
38            	1.2935             	1.4623             	0.1688
39            	1.4105             	1.4659             	0.0554
40            	1.4105             	1.4683             	0.0578
41            	1.4105             	1.4708             	0.0603
42            	1.4105             	1.4899             	0.0794
43            	1.4105             	1.4957             	0.0852
44            	1.4105             	1.5007             	0.0902
45            	1.4105             	1.5060             	0.0955
46            	1.4105             	1.5166             	0.1061
47            	1.4105             	1.5388             	0.1283
48            	1.4105             	1.5556             	0.1451
49            	1.4105             	-	0
50            	1.4105             	1.5728             	0.1623
51            	1.4105             	1.5732             	0.1627
52            	1.4105             	1.5797             	0.1692
53            	1.4105             	1.5846             	0.1741
54            	1.4105             	1.5904             	0.1799
55            	1.4105             	1.6015             	0.191
56            	1.4105             	1.6065             	0.196
57            	1.4105             	1.6105             	0.2
58            	1.4105             	1.6275             	0.217
59            	1.4105             	1.6298             	0.2193
60            	1.4105             	1.6323             	0.2218
61            	1.4105             	1.6344             	0.2239
62            	1.4105             	1.6382             	0.2277
63            	1.4105             	1.6393             	0.2288
64            	1.5285             	1.6429             	0.1144
65            	1.5285             	1.6451             	0.1166
66            	1.5285             	1.6478             	0.1193
67            	1.5285             	1.6495             	0.121
68            	1.5285             	1.6522             	0.1237
69            	1.5285             	1.6539             	0.1254
70            	1.5285             	1.6710             	0.1425
71            	1.5285             	1.6778             	0.1493
72            	1.5285             	1.6795             	0.151
73            	1.5285             	1.6916             	0.1631
74            	1.5285             	1.6933             	0.1648
75            	1.5285             	1.6950             	0.1665
76            	1.5285             	1.6962             	0.1677
77            	1.5285             	1.7028             	0.1743
78            	1.5285             	1.7109             	0.1824
79            	1.5285             	1.7235             	0.195
80            	1.5285             	1.7270             	0.1985
81            	1.5285             	-	0
82            	1.5285             	-	0
83            	1.5295             	1.7458             	0.2163
84            	1.5295             	-	0
85            	1.5295             	1.7508             	0.2213
86            	1.5295             	1.7529             	0.2234
87            	1.5295             	1.7553             	0.2258
88            	1.5295             	1.7578             	0.2283
89            	1.6485             	1.7601             	0.1116
90            	1.6485             	1.7637             	0.1152
91            	1.6485             	1.7658             	0.1173
92            	1.6485             	1.7687             	0.1202
93            	1.6485             	1.7710             	0.1225
94            	1.6485             	1.7845             	0.136
95            	1.6485             	1.7862             	0.1377
96            	1.6485             	1.7879             	0.1394
97            	1.6485             	1.7897             	0.1412
98            	1.6485             	-	0
99            	1.6485             	-	0
100            	1.6485             	1.7970             	0.1485
101            	1.6485             	1.8003             	0.1518
102            	1.6485             	1.8060             	0.1575
103            	1.6485             	1.8153             	0.1668
104            	1.6485             	1.8228             	0.1743
105            	1.6485             	1.8317             	0.1832
106            	1.6485             	1.8341             	0.1856
107            	1.6485             	1.8364             	0.1879
108            	1.6485             	1.8373             	0.1888
109            	1.6485             	1.8426             	0.1941
110            	1.6485             	-	0
111            	1.6485             	1.8464             	0.1979
112            	1.6485             	1.8491             	0.2006
113            	1.6485             	1.8514             	0.2029
114            	1.6485             	1.8521             	0.2036
115            	1.7665             	1.8553             	0.0888
116            	1.7665             	1.8580             	0.0915
117            	1.7665             	1.8604             	0.0939
118            	1.7665             	1.8631             	0.0966
119            	1.7665             	1.8654             	0.0989
120            	1.7665             	1.8675             	0.101
121            	1.7665             	1.8805             	0.114
122            	1.7665             	1.8930             	0.1265
123            	1.7665             	1.8951             	0.1286
124            	1.7665             	1.8972             	0.1307
125            	1.7665             	1.8995             	0.133
126            	1.7665             	1.9020             	0.1355
127            	1.7665             	1.9027             	0.1362
128            	1.7665             	-	0
129            	1.7665             	1.9100             	0.1435
130            	1.7665             	1.9124             	0.1459
131            	1.7665             	1.9145             	0.148
132            	1.7665             	1.9177             	0.1512
133            	1.7665             	1.9224             	0.1559
134            	1.7665             	1.9268             	0.1603
135            	1.7665             	1.9289             	0.1624
136            	1.7665             	1.9372             	0.1707
137            	1.7665             	1.9394             	0.1729
138            	1.7665             	1.9419             	0.1754
139            	1.7665             	1.9429             	0.1764
140            	1.8855             	1.9463             	0.0608
141            	1.8855             	1.9547             	0.0692
142            	1.8855             	1.9564             	0.0709
143            	1.8855             	1.9690             	0.0835
144            	1.8855             	1.9707             	0.0852
145            	1.8855             	1.9815             	0.096
146            	1.8855             	1.9842             	0.0987
147            	1.8855             	1.9865             	0.101
148            	1.8855             	1.9887             	0.1032
149            	1.8855             	1.9909             	0.1054
150            	1.8855             	1.9931             	0.1076
151            	1.8855             	1.9967             	0.1112
152            	1.8855             	1.9984             	0.1129
153            	1.8865             	2.0171             	0.1306
154            	1.8865             	2.0195             	0.133
155            	1.8865             	-	0
156            	1.8865             	2.0240             	0.1375
157            	1.8865             	2.0264             	0.1399
158            	1.8865             	2.0269             	0.1404
159            	1.8865             	-	0
160            	1.8865             	2.0430             	0.1565
161            	1.8865             	2.0453             	0.1588
162            	1.8865             	2.0476             	0.1611
163            	1.8865             	2.0498             	0.1633
164            	1.8865             	2.0506             	0.1641
165            	2.0045             	2.0555             	0.051
